Summary,Description,Issue Type,Priority,Labels,Assignee (Team Role)
"Implement Password Reset flow (SWA-1)","Allow users to request a password reset email and update their password securely. (Member A - Lead)","Story","High","Security,Auth","Member A"
"Set up GitHub Actions for CI/CD (SWA-2)","Configure automated testing and linting on every Pull Request to main/develop branches. (Member A - Lead)","Story","High","DevOps","Member A"
"Dockerize Application (SWA-3)","Create Dockerfile and docker-compose.yml for easy deployment of Backend and Frontend. (Member A - Lead)","Story","Medium","DevOps","Member A"
"Implement API Rate Limiting (SWA-4)","Prevent abuse by limiting the number of requests per IP address using express-rate-limit. (Member A - Lead)","Story","Medium","Security,Backend","Member A"
"Integrate OpenWeatherMap API (SWA-5)","Replace mock data with real-time weather data fetching from OpenWeatherMap API. (Member B - Backend)","Story","High","API,Data","Member B"
"Background Job for Weather Updates (SWA-6)","Set up a cron job to automatically update cached weather data for monitored cities every hour. (Member B - Backend)","Story","High","Backend","Member B"
"Export Data to CSV/PDF (SWA-7)","Add functionality for Admins to download user and weather reports as CSV or PDF files. (Member B - Backend)","Story","Medium","Reporting","Member B"
"Add Pagination to APIs (SWA-8)","Implement pagination for /cities and /weather endpoints to handle large datasets efficiently. (Member B - Backend)","Story","Medium","API,Optimization","Member B"
"Add Pull to Refresh (SWA-9)","Enable pull-to-refresh gesture on Dashboard and Explore screens to reload data manually. (Member C - Frontend)","Story","Medium","UX","Member C"
"Implement Offline Mode (SWA-10)","Cache data locally using Hive or SharedPrefs to show weather even when internet is disconnected. (Member C - Frontend)","Story","High","UX,Mobile","Member C"
"Weather Condition Animations (SWA-11)","Add Lottie animations or code-based animations for sunny, rainy, and cloudy states. (Member C - Frontend)","Story","Low","UI,Polish","Member C"
"User Favorites List (SWA-12)","Allow users to bookmark/star their favorite cities for quick access on the Dashboard. (Member C - Frontend)","Story","Medium","Feature","Member C"
